ID,Company / Brand / Platform,Entity Type,Primary Category,Sub-category,Country / Region,Description,ADC Relevance,Priority Score,Priority,AI / Data Relevance,Potential Use Case,Public Contact,Official Website,LinkedIn,Research Search URL,Verification Status,Last Reviewed,Notes
ST-0014,Chellaram Ultra Wellness,Company / Brand / Platform,"Sports Nutrition, Food & Supplements",Nutrition & Wellness,India,"Sports nutrition, functional food, hydration, supplements, or wellness brand.",Brand Partnership / Customer,100,High,Potential,"Brand matching, athlete discovery, sponsorship intelligence, and campaign measurement.",,,,https://www.bing.com/search?q=Chellaram+Ultra+Wellness+official+company+sports,"Candidate identified - verify website, HQ, stage, and contacts before outreach",2026-08-06,Name/category curated for ecosystem mapping; blank fields intentionally require confirmation.
ST-0015,GUT & BEYOND,Company / Brand / Platform,"Sports Nutrition, Food & Supplements",Nutrition & Wellness,India,"Sports nutrition, functional food, hydration, supplements, or wellness brand.",Brand Partnership / Customer,100,High,Potential,"Brand matching, athlete discovery, sponsorship intelligence, and campaign measurement.",,,,https://www.bing.com/search?q=GUT+%26+BEYOND+official+company+sports,"Candidate identified - verify website, HQ, stage, and contacts before outreach",2026-08-06,Name/category curated for ecosystem mapping; blank fields intentionally require confirmation.
ST-0016,Supply6,Company / Brand / Platform,"Sports Nutrition, Food & Supplements",Nutrition & Wellness,India,"Sports nutrition, functional food, hydration, supplements, or wellness brand.",Brand Partnership / Customer,100,High,Potential,"Brand matching, athlete discovery, sponsorship intelligence, and campaign measurement.",,,,https://www.bing.com/search?q=Supply6+official+company+sports,"Candidate identified - verify website, HQ, stage, and contacts before outreach",2026-08-06,Name/category curated for ecosystem mapping; blank fields intentionally require confirmation.
ST-0017,Abhinav Bindra Foundation,Company / Brand / Platform,"India Sports, Fitness & Wellness Ecosystem",India Sports,Global / verify,"India-focused sports, fitness, wellness, technology, or athlete ecosystem company.",Potential Partner / Customer,50,Longlist,Potential,"Partnership, customer discovery, integrations, or ecosystem access.",,,,https://www.bing.com/search?q=Abhinav+Bindra+Foundation+official+company+sports,"Candidate identified - verify website, HQ, stage, and contacts before outreach",2026-08-06,Name/category curated for ecosystem mapping; blank fields intentionally require confirmation.
ST-0018,Anju Bobby Sports Foundation,Company / Brand / Platform,"India Sports, Fitness & Wellness Ecosystem",India Sports,Global / verify,"India-focused sports, fitness, wellness, technology, or athlete ecosystem company.",Potential Partner / Customer,50,Longlist,Potential,"Partnership, customer discovery, integrations, or ecosystem access.",,,,https://www.bing.com/search?q=Anju+Bobby+Sports+Foundation+official+company+sports,"Candidate identified - verify website, HQ, stage, and contacts before outreach",2026-08-06,Name/category curated for ecosystem mapping; blank fields intentionally require confirmation.
ST-0019,boAt,Company / Brand / Platform,"India Sports, Fitness & Wellness Ecosystem",India Sports,India,"India-focused sports, fitness, wellness, technology, or athlete ecosystem company.",Potential Partner / Customer,65,Medium,Potential,"Partnership, customer discovery, integrations, or ecosystem access.",,,,https://www.bing.com/search?q=boAt+official+company+sports,"Candidate identified - verify website, HQ, stage, and contacts before outreach",2026-08-06,Name/category curated for ecosystem mapping; blank fields intentionally require confirmation.
ST-0020,Cosco India,Company / Brand / Platform,"India Sports, Fitness & Wellness Ecosystem",India Sports,India,"India-focused sports, fitness, wellness, technology, or athlete ecosystem company.",Potential Partner / Customer,65,Medium,Potential,"Partnership, customer discovery, integrations, or ecosystem access.",,,,https://www.bing.com/search?q=Cosco+India+official+company+sports,"Candidate identified - verify website, HQ, stage, and contacts before outreach",2026-08-06,Name/category curated for ecosystem mapping; blank fields intentionally require confirmation.
ST-0021,CricClubs India,Company / Brand / Platform,"India Sports, Fitness & Wellness Ecosystem",India Sports,India,"India-focused sports, fitness, wellness, technology, or athlete ecosystem company.",Potential Partner / Customer,65,Medium,Potential,"Partnership, customer discovery, integrations, or ecosystem access.",,,,https://www.bing.com/search?q=CricClubs+India+official+company+sports,"Candidate identified - verify website, HQ, stage, and contacts before outreach",2026-08-06,Name/category curated for ecosystem mapping; blank fields intentionally require confirmation.
ST-0022,DreamSetGo,Company / Brand / Platform,"India Sports, Fitness & Wellness Ecosystem",India Sports,India,"India-focused sports, fitness, wellness, technology, or athlete ecosystem company.",Potential Partner / Customer,65,Medium,Potential,"Partnership, customer discovery, integrations, or ecosystem access.",,,,https://www.bing.com/search?q=DreamSetGo+official+company+sports,"Candidate identified - verify website, HQ, stage, and contacts before outreach",2026-08-06,Name/category curated for ecosystem mapping; blank fields intentionally require confirmation.
ST-0023,DSC,Company / Brand / Platform,"India Sports, Fitness & Wellness Ecosystem",India Sports,India,"India-focused sports, fitness, wellness, technology, or athlete ecosystem company.",Potential Partner / Customer,65,Medium,Potential,"Partnership, customer discovery, integrations, or ecosystem access.",,,,https://www.bing.com/search?q=DSC+official+company+sports,"Candidate identified - verify website, HQ, stage, and contacts before outreach",2026-08-06,Name/category curated for ecosystem mapping; blank fields intentionally require confirmation.
ST-0024,Edusports,Company / Brand / Platform,"India Sports, Fitness & Wellness Ecosystem",India Sports,India,"India-focused sports, fitness, wellness, technology, or athlete ecosystem company.",Potential Partner / Customer,65,Medium,Potential,"Partnership, customer discovery, integrations, or ecosystem access.",,,,https://www.bing.com/search?q=Edusports+official+company+sports,"Candidate identified - verify website, HQ, stage, and contacts before outreach",2026-08-06,Name/category curated for ecosystem mapping; blank fields intentionally require confirmation.
ST-0025,ELMS Sports Foundation,Company / Brand / Platform,"India Sports, Fitness & Wellness Ecosystem",India Sports,Global / verify,"India-focused sports, fitness, wellness, technology, or athlete ecosystem company.",Potential Partner / Customer,50,Longlist,Potential,"Partnership, customer discovery, integrations, or ecosystem access.",,,,https://www.bing.com/search?q=ELMS+Sports+Foundation+official+company+sports,"Candidate identified - verify website, HQ, stage, and contacts before outreach",2026-08-06,Name/category curated for ecosystem mapping; blank fields intentionally require confirmation.
ST-0026,Fit India,Company / Brand / Platform,"India Sports, Fitness & Wellness Ecosystem",India Sports,Global / verify,"India-focused sports, fitness, wellness, technology, or athlete ecosystem company.",Potential Partner / Customer,50,Longlist,Potential,"Partnership, customer discovery, integrations, or ecosystem access.",,,,https://www.bing.com/search?q=Fit+India+official+company+sports,"Candidate identified - verify website, HQ, stage, and contacts before outreach",2026-08-06,Name/category curated for ecosystem mapping; blank fields intentionally require confirmation.
ST-0027,Gameberry Labs,Company / Brand / Platform,"India Sports, Fitness & Wellness Ecosystem",India Sports,Global / verify,"India-focused sports, fitness, wellness, technology, or athlete ecosystem company.",Potential Partner / Customer,50,Longlist,Potential,"Partnership, customer discovery, integrations, or ecosystem access.",,,,https://www.bing.com/search?q=Gameberry+Labs+official+company+sports,"Candidate identified - verify website, HQ, stage, and contacts before outreach",2026-08-06,Name/category curated for ecosystem mapping; blank fields intentionally require confirmation.
ST-0028,Hammer,Company / Brand / Platform,"India Sports, Fitness & Wellness Ecosystem",India Sports,India,"India-focused sports, fitness, wellness, technology, or athlete ecosystem company.",Potential Partner / Customer,65,Medium,Potential,"Partnership, customer discovery, integrations, or ecosystem access.",,,,https://www.bing.com/search?q=Hammer+official+company+sports,"Candidate identified - verify website, HQ, stage, and contacts before outreach",2026-08-06,Name/category curated for ecosystem mapping; blank fields intentionally require confirmation.
ST-0029,India On Track,Company / Brand / Platform,"India Sports, Fitness & Wellness Ecosystem",India Sports,India,"India-focused sports, fitness, wellness, technology, or athlete ecosystem company.",Potential Partner / Customer,65,Medium,Potential,"Partnership, customer discovery, integrations, or ecosystem access.",,,,https://www.bing.com/search?q=India+On+Track+official+company+sports,"Candidate identified - verify website, HQ, stage, and contacts before outreach",2026-08-06,Name/category curated for ecosystem mapping; blank fields intentionally require confirmation.
ST-0030,IOS Sports,Company / Brand / Platform,"India Sports, Fitness & Wellness Ecosystem",India Sports,India,"India-focused sports, fitness, wellness, technology, or athlete ecosystem company.",Potential Partner / Customer,65,Medium,Potential,"Partnership, customer discovery, integrations, or ecosystem access.",,,,https://www.bing.com/search?q=IOS+Sports+official+company+sports,"Candidate identified - verify website, HQ, stage, and contacts before outreach",2026-08-06,Name/category curated for ecosystem mapping; blank fields intentionally require confirmation.
ST-0031,Khelo India,Company / Brand / Platform,"India Sports, Fitness & Wellness Ecosystem",India Sports,Global / verify,"India-focused sports, fitness, wellness, technology, or athlete ecosystem company.",Potential Partner / Customer,50,Longlist,Potential,"Partnership, customer discovery, integrations, or ecosystem access.",,,,https://www.bing.com/search?q=Khelo+India+official+company+sports,"Candidate identified - verify website, HQ, stage, and contacts before outreach",2026-08-06,Name/category curated for ecosystem mapping; blank fields intentionally require confirmation.
ST-0032,Lakshya Sports,Company / Brand / Platform,"India Sports, Fitness & Wellness Ecosystem",India Sports,Global / verify,"India-focused sports, fitness, wellness, technology, or athlete ecosystem company.",Potential Partner / Customer,50,Longlist,Potential,"Partnership, customer discovery, integrations, or ecosystem access.",,,,https://www.bing.com/search?q=Lakshya+Sports+official+company+sports,"Candidate identified - verify website, HQ, stage, and contacts before outreach",2026-08-06,Name/category curated for ecosystem mapping; blank fields intentionally require confirmation.
ST-0033,LeapStart,Company / Brand / Platform,"India Sports, Fitness & Wellness Ecosystem",India Sports,India,"India-focused sports, fitness, wellness, technology, or athlete ecosystem company.",Potential Partner / Customer,65,Medium,Potential,"Partnership, customer discovery, integrations, or ecosystem access.",,,,https://www.bing.com/search?q=LeapStart+official+company+sports,"Candidate identified - verify website, HQ, stage, and contacts before outreach",2026-08-06,Name/category curated for ecosystem mapping; blank fields intentionally require confirmation.
ST-0034,M3M Foundation Sports,Company / Brand / Platform,"India Sports, Fitness & Wellness Ecosystem",India Sports,Global / verify,"India-focused sports, fitness, wellness, technology, or athlete ecosystem company.",Potential Partner / Customer,50,Longlist,Potential,"Partnership, customer discovery, integrations, or ecosystem access.",,,,https://www.bing.com/search?q=M3M+Foundation+Sports+official+company+sports,"Candidate identified - verify website, HQ, stage, and contacts before outreach",2026-08-06,Name/category curated for ecosystem mapping; blank fields intentionally require confirmation.
ST-0035,Meraki Sport,Company / Brand / Platform,"India Sports, Fitness & Wellness Ecosystem",India Sports,India,"India-focused sports, fitness, wellness, technology, or athlete ecosystem company.",Potential Partner / Customer,65,Medium,Potential,"Partnership, customer discovery, integrations, or ecosystem access.",,,,https://www.bing.com/search?q=Meraki+Sport+official+company+sports,"Candidate identified - verify website, HQ, stage, and contacts before outreach",2026-08-06,Name/category curated for ecosystem mapping; blank fields intentionally require confirmation.
ST-0036,Olympic Gold Quest,Company / Brand / Platform,"India Sports, Fitness & Wellness Ecosystem",India Sports,Global / verify,"India-focused sports, fitness, wellness, technology, or athlete ecosystem company.",Potential Partner / Customer,50,Longlist,Potential,"Partnership, customer discovery, integrations, or ecosystem access.",,,,https://www.bing.com/search?q=Olympic+Gold+Quest+official+company+sports,"Candidate identified - verify website, HQ, stage, and contacts before outreach",2026-08-06,Name/category curated for ecosystem mapping; blank fields intentionally require confirmation.
ST-0037,Performax,Company / Brand / Platform,"India Sports, Fitness & Wellness Ecosystem",India Sports,India,"India-focused sports, fitness, wellness, technology, or athlete ecosystem company.",Potential Partner / Customer,65,Medium,Potential,"Partnership, customer discovery, integrations, or ecosystem access.",,,,https://www.bing.com/search?q=Performax+official+company+sports,"Candidate identified - verify website, HQ, stage, and contacts before outreach",2026-08-06,Name/category curated for ecosystem mapping; blank fields intentionally require confirmation.
ST-0038,Shiv-Naresh,Company / Brand / Platform,"India Sports, Fitness & Wellness Ecosystem",India Sports,India,"India-focused sports, fitness, wellness, technology, or athlete ecosystem company.",Potential Partner / Customer,65,Medium,Potential,"Partnership, customer discovery, integrations, or ecosystem access.",,,,https://www.bing.com/search?q=Shiv-Naresh+official+company+sports,"Candidate identified - verify website, HQ, stage, and contacts before outreach",2026-08-06,Name/category curated for ecosystem mapping; blank fields intentionally require confirmation.
ST-0039,Sports For All,Company / Brand / Platform,"India Sports, Fitness & Wellness Ecosystem",India Sports,India,"India-focused sports, fitness, wellness, technology, or athlete ecosystem company.",Potential Partner / Customer,65,Medium,Potential,"Partnership, customer discovery, integrations, or ecosystem access.",,,,https://www.bing.com/search?q=Sports+For+All+official+company+sports,"Candidate identified - verify website, HQ, stage, and contacts before outreach",2026-08-06,Name/category curated for ecosystem mapping; blank fields intentionally require confirmation.
ST-0040,Sportz & Live,Company / Brand / Platform,"India Sports, Fitness & Wellness Ecosystem",India Sports,Global / verify,"India-focused sports, fitness, wellness, technology, or athlete ecosystem company.",Potential Partner / Customer,50,Longlist,Potential,"Partnership, customer discovery, integrations, or ecosystem access.",,,,https://www.bing.com/search?q=Sportz+%26+Live+official+company+sports,"Candidate identified - verify website, HQ, stage, and contacts before outreach",2026-08-06,Name/category curated for ecosystem mapping; blank fields intentionally require confirmation.
ST-0041,SuperGaming,Company / Brand / Platform,"India Sports, Fitness & Wellness Ecosystem",India Sports,Global / verify,"India-focused sports, fitness, wellness, technology, or athlete ecosystem company.",Potential Partner / Customer,50,Longlist,Potential,"Partnership, customer discovery, integrations, or ecosystem access.",,,,https://www.bing.com/search?q=SuperGaming+official+company+sports,"Candidate identified - verify website, HQ, stage, and contacts before outreach",2026-08-06,Name/category curated for ecosystem mapping; blank fields intentionally require confirmation.
ST-0042,Tenvic,Company / Brand / Platform,"India Sports, Fitness & Wellness Ecosystem",India Sports,India,"India-focused sports, fitness, wellness, technology, or athlete ecosystem company.",Potential Partner / Customer,65,Medium,Potential,"Partnership, customer discovery, integrations, or ecosystem access.",,,,https://www.bing.com/search?q=Tenvic+official+company+sports,"Candidate identified - verify website, HQ, stage, and contacts before outreach",2026-08-06,Name/category curated for ecosystem mapping; blank fields intentionally require confirmation.
ST-0043,AiSCOUT,Company / Brand / Platform,Sports Data & Analytics,Sports Data & Analytics,Global / verify,"Sports data, performance analytics, video intelligence, or decision-support technology.",Direct / Adjacent Competitor,85,High,High,"Benchmark product, positioning, pricing, datasets, and GTM.",,,,https://www.bing.com/search?q=AiSCOUT+official+company+sports,"Candidate identified - verify website, HQ, stage, and contacts before outreach",2026-08-06,Name/category curated for ecosystem mapping; blank fields intentionally require confirmation.
ST-0044,API-Football,Company / Brand / Platform,Sports Data & Analytics,Sports Data & Analytics,Global / verify,"Sports data, performance analytics, video intelligence, or decision-support technology.",Data / Technology Partner,60,Longlist,High,"Data integration, athlete scoring, performance analytics, or wearable intelligence.",,,,https://www.bing.com/search?q=API-Football+official+company+sports,"Candidate identified - verify website, HQ, stage, and contacts before outreach",2026-08-06,Name/category curated for ecosystem mapping; blank fields intentionally require confirmation.
ST-0045,AthleteMonitoring,Company / Brand / Platform,Sports Data & Analytics,Wearables,Global / verify,"Sports data, performance analytics, video intelligence, or decision-support technology.",Data / Technology Partner,60,Longlist,High,"Data integration, athlete scoring, performance analytics, or wearable intelligence.",,,,https://www.bing.com/search?q=AthleteMonitoring+official+company+sports,"Candidate identified - verify website, HQ, stage, and contacts before outreach",2026-08-06,Name/category curated for ecosystem mapping; blank fields intentionally require confirmation.
ST-0046,BallR,Company / Brand / Platform,Sports Data & Analytics,Sports Data & Analytics,Global / verify,"Sports data, performance analytics, video intelligence, or decision-support technology.",Data / Technology Partner,60,Longlist,High,"Data integration, athlete scoring, performance analytics, or wearable intelligence.",,,,https://www.bing.com/search?q=BallR+official+company+sports,"Candidate identified - verify website, HQ, stage, and contacts before outreach",2026-08-06,Name/category curated for ecosystem mapping; blank fields intentionally require confirmation.
ST-0047,Balltime,Company / Brand / Platform,Sports Data & Analytics,Sports Data & Analytics,Global / verify,"Sports data, performance analytics, video intelligence, or decision-support technology.",Data / Technology Partner,60,Longlist,High,"Data integration, athlete scoring, performance analytics, or wearable intelligence.",,,,https://www.bing.com/search?q=Balltime+official+company+sports,"Candidate identified - verify website, HQ, stage, and contacts before outreach",2026-08-06,Name/category curated for ecosystem mapping; blank fields intentionally require confirmation.
ST-0048,BatFast,Company / Brand / Platform,Sports Data & Analytics,Sports Data & Analytics,Global / verify,"Sports data, performance analytics, video intelligence, or decision-support technology.",Data / Technology Partner,60,Longlist,High,"Data integration, athlete scoring, performance analytics, or wearable intelligence.",,,,https://www.bing.com/search?q=BatFast+official+company+sports,"Candidate identified - verify website, HQ, stage, and contacts before outreach",2026-08-06,Name/category curated for ecosystem mapping; blank fields intentionally require confirmation.
ST-0049,Bepro11,Company / Brand / Platform,Sports Data & Analytics,Sports Data & Analytics,Global / verify,"Sports data, performance analytics, video intelligence, or decision-support technology.",Data / Technology Partner,60,Longlist,High,"Data integration, athlete scoring, performance analytics, or wearable intelligence.",,,,https://www.bing.com/search?q=Bepro11+official+company+sports,"Candidate identified - verify website, HQ, stage, and contacts before outreach",2026-08-06,Name/category curated for ecosystem mapping; blank fields intentionally require confirmation.
ST-0050,Catapult Sports,Company / Brand / Platform,Sports Data & Analytics,Sports Data & Analytics,Global / verify,"Sports data, performance analytics, video intelligence, or decision-support technology.",Data / Technology Partner,60,Longlist,High,"Data integration, athlete scoring, performance analytics, or wearable intelligence.",,,,https://www.bing.com/search?q=Catapult+Sports+official+company+sports,"Candidate identified - verify website, HQ, stage, and contacts before outreach",2026-08-06,Name/category curated for ecosystem mapping; blank fields intentionally require confirmation.
ST-0051,Champion Data,Company / Brand / Platform,Sports Data & Analytics,Analytics & Intelligence,Global / verify,"Sports data, performance analytics, video intelligence, or decision-support technology.",Data / Technology Partner,60,Longlist,High,"Data integration, athlete scoring, performance analytics, or wearable intelligence.",,,,https://www.bing.com/search?q=Champion+Data+official+company+sports,"Candidate identified - verify website, HQ, stage, and contacts before outreach",2026-08-06,Name/category curated for ecosystem mapping; blank fields intentionally require confirmation.
ST-0052,Chyron,Company / Brand / Platform,Sports Data & Analytics,Sports Data & Analytics,Global / verify,"Sports data, performance analytics, video intelligence, or decision-support technology.",Data / Technology Partner,60,Longlist,High,"Data integration, athlete scoring, performance analytics, or wearable intelligence.",,,,https://www.bing.com/search?q=Chyron+official+company+sports,"Candidate identified - verify website, HQ, stage, and contacts before outreach",2026-08-06,Name/category curated for ecosystem mapping; blank fields intentionally require confirmation.
ST-0053,Coach Paint,Company / Brand / Platform,Sports Data & Analytics,Coaching & Fitness,Global / verify,"Sports data, performance analytics, video intelligence, or decision-support technology.",Data / Technology Partner,60,Longlist,High,"Data integration, athlete scoring, performance analytics, or wearable intelligence.",,,,https://www.bing.com/search?q=Coach+Paint+official+company+sports,"Candidate identified - verify website, HQ, stage, and contacts before outreach",2026-08-06,Name/category curated for ecosystem mapping; blank fields intentionally require confirmation.
ST-0054,CricClubs,Company / Brand / Platform,Sports Data & Analytics,Sports Data & Analytics,Global / verify,"Sports data, performance analytics, video intelligence, or decision-support technology.",Data / Technology Partner,60,Longlist,High,"Data integration, athlete scoring, performance analytics, or wearable intelligence.",,,,https://www.bing.com/search?q=CricClubs+official+company+sports,"Candidate identified - verify website, HQ, stage, and contacts before outreach",2026-08-06,Name/category curated for ecosystem mapping; blank fields intentionally require confirmation.
ST-0055,CricHeroes,Company / Brand / Platform,Sports Data & Analytics,Sports Data & Analytics,Global / verify,"Sports data, performance analytics, video intelligence, or decision-support technology.",Direct / Adjacent Competitor,85,High,High,"Benchmark product, positioning, pricing, datasets, and GTM.",,,,https://www.bing.com/search?q=CricHeroes+official+company+sports,"Candidate identified - verify website, HQ, stage, and contacts before outreach",2026-08-06,Name/category curated for ecosystem mapping; blank fields intentionally require confirmation.
ST-0056,Cricmetric,Company / Brand / Platform,Sports Data & Analytics,Sports Data & Analytics,Global / verify,"Sports data, performance analytics, video intelligence, or decision-support technology.",Data / Technology Partner,60,Longlist,High,"Data integration, athlete scoring, performance analytics, or wearable intelligence.",,,,https://www.bing.com/search?q=Cricmetric+official+company+sports,"Candidate identified - verify website, HQ, stage, and contacts before outreach",2026-08-06,Name/category curated for ecosystem mapping; blank fields intentionally require confirmation.
ST-0057,CricViz,Company / Brand / Platform,Sports Data & Analytics,Sports Data & Analytics,Global / verify,"Sports data, performance analytics, video intelligence, or decision-support technology.",Data / Technology Partner,60,Longlist,High,"Data integration, athlete scoring, performance analytics, or wearable intelligence.",,,,https://www.bing.com/search?q=CricViz+official+company+sports,"Candidate identified - verify website, HQ, stage, and contacts before outreach",2026-08-06,Name/category curated for ecosystem mapping; blank fields intentionally require confirmation.
ST-0058,Dartfish,Company / Brand / Platform,Sports Data & Analytics,Sports Data & Analytics,Global / verify,"Sports data, performance analytics, video intelligence, or decision-support technology.",Data / Technology Partner,60,Longlist,High,"Data integration, athlete scoring, performance analytics, or wearable intelligence.",,,,https://www.bing.com/search?q=Dartfish+official+company+sports,"Candidate identified - verify website, HQ, stage, and contacts before outreach",2026-08-06,Name/category curated for ecosystem mapping; blank fields intentionally require confirmation.
ST-0059,DataFactory,Company / Brand / Platform,Sports Data & Analytics,Analytics & Intelligence,Global / verify,"Sports data, performance analytics, video intelligence, or decision-support technology.",Data / Technology Partner,60,Longlist,High,"Data integration, athlete scoring, performance analytics, or wearable intelligence.",,,,https://www.bing.com/search?q=DataFactory+official+company+sports,"Candidate identified - verify website, HQ, stage, and contacts before outreach",2026-08-06,Name/category curated for ecosystem mapping; blank fields intentionally require confirmation.
ST-0060,Deltatre,Company / Brand / Platform,Sports Data & Analytics,Sports Data & Analytics,Global / verify,"Sports data, performance analytics, video intelligence, or decision-support technology.",Data / Technology Partner,60,Longlist,High,"Data integration, athlete scoring, performance analytics, or wearable intelligence.",,,,https://www.bing.com/search?q=Deltatre+official+company+sports,"Candidate identified - verify website, HQ, stage, and contacts before outreach",2026-08-06,Name/category curated for ecosystem mapping; blank fields intentionally require confirmation.
